map_matching,P,q,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time
TRUE,0,0.75,0.7358209528161174,1.311086749540535,1.5564489675945146,1.79385178223997,0.6578703703703703,1.8012864881140926,1.3485173310418188,47.33031551043192
TRUE,100,0.75,0.7298974499594959,1.2882003284590533,1.5554029959154205,1.8049482982238692,0.6625771604938272,1.6218854683990362,2.097953625561012,55.00381271044413
TRUE,1000,0.75,0.716270543231469,1.2686670177099857,1.534674709585841,1.8018928031951735,0.6709104938271605,1.4920611199770317,2.238382346165728,55.43856593767802
TRUE,0,1.5,0.7153394896185619,1.286595371314227,1.5763431339452525,1.836390297115031,0.6753086419753086,2.5373143274104946,0.1381148213121266,48.66983733177185
TRUE,100,1.5,0.7088270953852477,1.311061966807933,1.6322391744379041,1.8713519401797107,0.6781635802469136,2.1897104544348744,0.5760760263971545,56.740387574831644
TRUE,1000,1.5,0.6935663887612488,1.312506130147678,1.6464917793122815,1.8919302579864552,0.6799382716049382,1.9418725629762972,0.922750410912195,56.266208338737485
TRUE,0,2,0.710503342769797,1.2767244885462246,1.5667279349118473,1.830360936980721,0.6837962962962962,2.633725897197873,0.11122626533154058,49.60356232325236
TRUE,100,2,0.6961294897967878,1.3126931707938383,1.6512079072700196,1.8842973602487885,0.6798611111111111,2.3124666929138917,0.6577903471127896,57.37806854248047
TRUE,1000,2,0.6995505379641977,1.3211473171093877,1.6674563396931437,1.9299511441104802,0.6793981481481481,2.044968181280547,1.1483232171115787,56.5726492245992
TRUE,0,2.5,0.712584016823353,1.2847256473482227,1.567708043343982,1.8377893415270947,0.6770061728395061,2.6647622382866722,0.12150030837069996,49.70644061565399
TRUE,100,2.5,0.6940650542998535,1.3264671215188255,1.6613828398209411,1.888749378425926,0.6800925925925926,2.3426689281740574,0.731702386648671,56.89994839032491
TRUE,1000,2.5,0.6987824109026224,1.3434149634879524,1.6898393786969133,1.944645262825171,0.6712962962962963,2.1121140200352966,1.0781086569712581,80.01071642239887
FALSE,0,0.75,0.8809931340297008,1.5720144165209031,1.9175795743452717,2.268861028688061,0.5698302469135802,2.011756038973815,0.0350632479269831,14.00029612382253
FALSE,0,1.5,0.8700860850288683,1.6038750961375794,1.9716566607836228,2.2943604635677004,0.5729938271604939,2.535159247715096,0.014402999354669073,14.107811148961385
FALSE,0,2,0.8619905714206817,1.6103381239277739,2.0031373721299355,2.303799619461995,0.5760802469135803,2.58802517424051,0.01073858939787779,13.76988172531128
FALSE,0,2.5,0.8570810325135707,1.6153653596996114,2.016426905411942,2.3062325607092937,0.5740740740740741,2.6537233509870894,0.009125573261529801,13.808576655387878
