N,resampling,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time,q50_error_lo,q50_error_hi,q80_error_lo,q80_error_hi,q90_error_lo,q90_error_hi,q95_error_lo,q95_error_hi,variance_lo,variance_hi,sub_meter_quantile_lo,sub_meter_quantile_hi
100,0,1.888562689933032,4.038412513422128,5.756841145152303,8.001132710094371,0.2831018518518518,NA,15.517265274838666,14.51578079064687,1.8093213495870097,1.967804030279054,3.8944728278767706,4.182352198967486,5.466920595198706,6.0467616951059,7.460161333045126,8.542104087143617,NA,NA,0.27238563280684447,0.2938180708968592
1000,0,1.042536887660211,2.0037544252016035,2.5976559327723887,3.3305072753877174,0.48410493827160495,NA,1.4036184487451067,28.4584743976593,1.0243518535749885,1.0607219217454336,1.9756943720415572,2.0318144783616496,2.5626625279754984,2.632649337569279,3.2709703266167143,3.3900442241587205,NA,NA,0.4767703006633405,0.4914395758798694
10000,0,0.8733110049081465,1.6615370574869324,2.0694098084702794,2.477594940863068,0.555787037037037,NA,0.0933413414984879,476.7573422908784,0.864518705345894,0.882103304470399,1.6514375813045667,1.671636533669298,2.0567272762606783,2.0820923406798806,2.4544464232994816,2.500743458426655,NA,NA,0.5521874153514005,0.5593866587226736
100,0.1,0.8671834472031944,1.6096619016298477,2.024990042462776,2.3621233306011167,0.5648148148148148,0.07243288394623255,0.098458963934443,16.08763906955719,0.8570977101926075,0.8772691842137813,1.5997250627627846,1.6195987404969108,2.008392830678708,2.0415872542468434,2.3422735500798457,2.3819731111223876,0.07089051216235966,0.07397525573010545,0.5605518875500227,0.5690777420796068
1000,0.1,0.859716112328516,1.6054088165660907,2.003324993214929,2.320306804462515,0.5752314814814815,0.0039339345635324915,0.017218196661931525,31.490120005607604,0.8556465417973796,0.8637856828596523,1.6010794272580937,1.6097382058740877,1.9947453517088112,2.011904634721047,2.308443230057473,2.3321703788675565,0.0038695851303791745,0.003998283996685809,0.5733106400029151,0.5771523229600479
10000,0.1,0.8597710119884929,1.6089061608563222,1.9942150119353406,2.3123500385251234,0.5756944444444444,2.2225825145061258e-4,0.004823737166114709,166.9277068376541,0.8577570028269644,0.8617850211500214,1.6055298496105996,1.6122824721020448,1.9892926516294474,1.9991373722412338,2.3036272574646577,2.321072819585589,2.194980919585758e-4,2.2501841094264935e-4,0.5744995205451521,0.5768893683437367
100,0.6666666666666666,0.882423874732452,1.6130776034591527,2.0046353155524965,2.326996936904918,0.5619598765432099,0.05787060896734904,0.06545871524150887,14.064490159352621,0.875008869890215,0.889838879574689,1.6045869121591838,1.6215682947591217,1.9911165605034478,2.0181540706015455,2.308014310184391,2.345979563625445,0.05668086216542992,0.05906035576926816,0.5577996142789872,0.5661201388074326
1000,0.6666666666666666,0.860881099970836,1.608639840741634,2.0069137123958334,2.3022678829120293,0.5767746913580247,0.002925265520175904,0.01084677896924118,27.98316642443339,0.8571485764594619,0.86461362348221,1.605219157680307,1.612060523802961,1.9988018194280306,2.015025605363636,2.292623851595672,2.3119119142283866,0.0028877810328524103,0.0029627500074993975,0.575230131336048,0.5783192513800015
10000,0.6666666666666666,0.8595372342952051,1.6115890480233974,1.9961993128840452,2.300074515274419,0.5774691358024692,1.7058835798629827e-4,0.0027261224605943314,172.89434996445974,0.857901619038815,0.8611728495515952,1.609555979533963,1.613622116512832,1.9929954642104528,1.9994031615576375,2.2941192610009025,2.3060297695479357,1.6913751262370794e-4,1.720392033488886e-4,0.5766750038667149,0.5782632677382235
100,1,0.8760083020402873,1.6061555500949392,2.0014219408704186,2.362165813177811,0.5637345679012346,0.057423165258011104,0.06439191102772636,14.010646939277649,0.8677018602961498,0.8843147437844249,1.5990576645098342,1.613253435680044,1.9866490151408343,2.016194866600003,2.338562475863546,2.385769150492076,0.056291681875460214,0.05855464864056199,0.5600021287471204,0.5674670070553487
1000,1,0.8591473913477123,1.6143192453059283,2.001911454604881,2.3119513980243047,0.5758487654320987,0.0028511452156985144,0.010633971899988314,28.49745172659556,0.8560034069797708,0.8622913757156538,1.6090401173786208,1.6195983732332357,1.9960274547827581,2.0077954544270042,2.29944367389804,2.3244591221505693,0.002812085356502872,0.0028902050748941567,0.5739193033682441,0.5777782274959533
10000,1,0.8600435724411166,1.6130024625694375,1.9981611685134182,2.2941969615773905,0.576929012345679,1.6984650395911142e-4,0.002670567105310019,183.14485333760578,0.858484427980054,0.8616027169021793,1.61042967990984,1.6155752452290348,1.9952132515687626,2.0011090854580735,2.2880422527216884,2.3003516704330926,1.6791646609916864e-4,1.717765418190542e-4,0.576113886518936,0.5777441381724219
